#START7777
#--------------------------------------------------------------------------------------------------
#  TA     : 정시기온 (C) 
#  WD     : 정시 10분 평균 풍향 (degee) 
#  WS     : 정시 10분 평균 풍속 (m/s) 
#  RN_DAY : 해당시간까지의 일강수량 (mm) 
#  RN_HR1 : 1시간 강수량 (mm) 
#  HM     : 정시습도 (%) 
#  PA     : 정시 현지기압 (hPa) 
#  PS     : 정시 해면기압 (hPa) 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN     TA     WD     WS RN_DAY RN_HR1     HM     PA     PS
#        KST    ID      C    deg    m/s     mm     mm      %    hPa    hPa
202606261200   108   24.9  216.0    1.3    0.0    0.0   57.0  996.4 1006.1
202606261300   108   26.5  280.2    2.8    0.0    0.0   54.9  996.0 1005.7
202606261400   108   27.8   75.8    2.1    0.0    0.0   45.4  995.4 1005.0
202606261500   108   28.4  337.4    3.5    0.0    0.0   43.9  995.0 1004.6
202606261600   108   29.5  331.4    2.3    0.0    0.0   41.2  994.9 1004.5
202606261700   108   29.8  142.6    1.3    0.0    0.0   42.0  994.7 1004.2
202606261800   108   28.9  222.2    1.7    0.0    0.0   43.1  995.1 1004.7
202606261900   108   27.7  269.2    1.8    0.0    0.0   47.6  995.2 1004.8
202606262000   108   26.2  251.9    3.0    0.0    0.0   58.4  995.8 1005.5
202606262100   108   25.1  296.7    2.1    0.0    0.0   62.3  996.4 1006.1
202606262200   108   24.3  307.1    1.1    0.0    0.0   64.8  996.3 1006.0
202606262300   108   23.8  278.1    1.1    0.0    0.0   66.4  996.3 1006.1
202606270000   108   23.2  287.4    0.2    0.0    0.0   67.7  996.2 1006.0
202606270100   108   22.6  287.1    1.2    0.0    0.0   72.2  996.0 1005.8
202606270200   108   22.0  281.4    1.1    0.0    0.0   75.0  995.6 1005.4
202606270300   108   21.5  271.1    0.3    0.0    0.0   74.0  995.4 1005.2
202606270400   108   21.1   61.3    1.0    0.0    0.0   75.2  995.6 1005.5
202606270500   108   20.9  358.3    0.7    0.0    0.0   76.1  995.6 1005.5
202606270600   108   20.8  343.9    0.8    0.0    0.0   78.2  995.6 1005.5
202606270700   108   21.4  276.9    1.0    0.0    0.0   78.6  995.6 1005.4
202606270800   108   23.2  268.8    2.0    0.0    0.0   71.9  995.7 1005.5
202606270900   108   25.0  148.0    0.4    0.0    0.0   66.3  995.9 1005.6
202606271000   108   26.8  202.0    1.5    0.0    0.0   58.4  995.7 1005.4
202606271100   108   28.2   96.1    1.2    0.0    0.0   53.5  995.5 1005.1
202606271200   108   29.9   43.9    2.2    0.0    0.0   49.4  995.3 1004.8
202606271300   108   31.2  101.8    1.6    0.0    0.0   43.8  994.9 1004.4
202606271400   108   30.2  232.0    1.9    0.0    0.0   41.5  994.7 1004.2
202606271500   108   31.6  246.0    2.6    0.0    0.0   45.1  994.4 1003.9
202606271600   108   31.9  274.6    2.9    0.0    0.0   43.3  994.1 1003.6
202606271700   108   31.1  251.3    2.6    0.0    0.0   48.2  994.1 1003.6
202606271800   108   30.4   13.3    3.1    0.0    0.0   48.6  994.2 1003.7
202606271900   108   29.2  287.8    2.2    0.0    0.0   54.7  994.6 1004.2
202606272000   108   28.0  259.1    3.3    0.0    0.0   55.2  995.0 1004.6
202606272100   108   26.8  292.5    3.3    0.0    0.0   60.2  995.5 1005.2
202606272200   108   25.5  219.0    1.8    0.0    0.0   63.4  996.1 1005.8
202606272300   108   24.8  259.4    2.0    0.0    0.0   67.9  996.6 1006.3
202606280000   108   24.5  252.9    1.5    0.0    0.0   69.4  996.9 1006.6
202606280100   108   24.1  209.9    1.3    0.0    0.0   68.7  997.1 1006.9
202606280200   108   23.5  279.9    1.5    0.0    0.0   70.3  997.0 1006.8
202606280300   108   22.9  294.1    0.8    0.0    0.0   72.4  997.2 1007.0
202606280400   108   22.7  315.7    0.7    0.0    0.0   73.1  997.4 1007.2
202606280500   108   22.3  275.9    0.4    0.0    0.0   74.2  997.6 1007.4
202606280600   108   21.8  260.9    1.2    0.0    0.0   70.8  998.2 1008.1
202606280700   108   22.4  188.4    0.6    0.0    0.0   71.3  998.4 1008.2
202606280800   108   24.7  111.1    2.2    0.0    0.0   67.4  998.9 1008.7
202606280900   108   26.3  115.5    1.5    0.0    0.0   63.6  999.2 1008.9
202606281000   108   27.7  154.0    2.2    0.0    0.0   57.9  999.2 1008.9
202606281100   108   29.1  154.5    2.1    0.0    0.0   53.6  999.3 1008.9
202606281200   108   30.3  239.7    2.5    0.0    0.0   50.7  999.1 1008.7
202606281300   108   30.6  210.2    1.6    0.0    0.0   49.3  998.8 1008.4
202606281400   108   29.7  240.8    2.9    0.0    0.0   56.2  998.8 1008.4
202606281500   108   30.5  210.8    3.3    0.0    0.0   49.8  998.1 1007.7
202606281600   108   29.1  291.1    2.5    0.0    0.0   58.4  998.2 1007.8
202606281700   108   30.1  269.5    3.9    0.0    0.0   52.7  998.3 1007.9
202606281800   108   29.1  271.1    3.5    0.0    0.0   48.6  998.7 1008.3
202606281900   108   27.4  268.6    2.7    0.0    0.0   51.1  999.2 1008.9
202606282000   108   25.9  247.8    3.1    0.0    0.0   48.1  999.5 1009.2
202606282100   108   24.8  292.4    2.5    0.0    0.0   59.2 1000.2 1010.0
202606282200   108   24.1  263.8    1.9    0.0    0.0   63.4 1000.7 1010.5
202606282300   108   23.7  251.6    2.5    0.0    0.0   68.4 1001.1 1010.9
202606290000   108   23.3  269.2    1.6    0.0    0.0   69.7 1001.3 1011.1
202606290100   108   22.8  273.7    1.2    0.0    0.0   70.0 1001.6 1011.5
202606290200   108   22.3  290.5    0.8    0.0    0.0   71.9 1001.3 1011.2
202606290300   108   22.0  281.1    1.5    0.0    0.0   76.4 1001.3 1011.2
202606290400   108   21.6  274.9    1.6    0.0    0.0   78.5 1001.4 1011.3
202606290500   108   21.7  271.9    1.7    0.0    0.0   85.0 1001.9 1011.8
202606290600   108   22.0  289.7    1.5    0.0    0.0   84.7 1002.1 1012.0
202606290700   108   22.5  232.1    1.6    0.0    0.0   81.5 1002.5 1012.4
202606290800   108   23.0  299.5    0.9    0.0    0.0   79.0 1002.4 1012.3
202606290900   108   24.1  285.1    1.3    0.0    0.0   74.6 1002.5 1012.3
202606291000   108   26.3  316.6    1.6    0.0    0.0   69.8 1002.5 1012.2
202606291100   108   28.0  278.0    2.2    0.0    0.0   62.0 1002.4 1012.1
202606291200   108   29.1  267.7    2.0    0.0    0.0   58.5 1002.2 1011.8
202606291300   108   30.4  255.7    1.9    0.0    0.0   53.1 1001.8 1011.4
202606291400   108   32.0  233.3    2.3    0.0    0.0   49.4 1001.2 1010.7
202606291500   108   32.2  278.7    2.4    0.0    0.0   47.1 1000.8 1010.3
202606291600   108   31.2  293.5    1.8    0.0    0.0   48.5 1000.6 1010.2
202606291700   108   31.1  252.5    3.8    0.0    0.0   53.2 1000.5 1010.1
202606291800   108   30.3  263.4    3.4    0.0    0.0   55.7 1000.5 1010.1
202606291900   108   28.2  269.5    2.9    0.0    0.0   59.7 1001.1 1010.8
202606292000   108   26.7  267.1    2.5    0.0    0.0   61.5 1001.5 1011.2
202606292100   108   25.7  263.7    1.2    0.0    0.0   62.5 1002.1 1011.9
202606292200   108   24.6  253.2    1.7    0.0    0.0   63.1 1002.4 1012.2
